cc_rating,year,number
"1,000 cc & Below",1986,33797
"1,000 cc & Below",1987,33783
"1,000 cc & Below",1988,35915
"1,000 cc & Below",1989,39710
"1,000 cc & Below",1990,42000
"1,000 cc & Below",1991,43986
"1,000 cc & Below",1992,44879
"1,000 cc & Below",1993,46245
"1,000 cc & Below",1994,47019
"1,000 cc & Below",1995,48558
"1,000 cc & Below",1996,51094
"1,000 cc & Below",1997,53094
"1,000 cc & Below",1998,52183
"1,000 cc & Below",1999,48552
"1,000 cc & Below",2000,35724
"1,000 cc & Below",2001,30680
"1,000 cc & Below",2002,26234
"1,000 cc & Below",2003,20892
"1,000 cc & Below",2004,14976
"1,000 cc & Below",2005,9514
"1,000 cc & Below",2006,7109
"1,000 cc & Below",2007,7544
"1,000 cc & Below",2008,7777
"1,000 cc & Below",2009,7650
"1,000 cc & Below",2010,7367
"1,000 cc & Below",2011,6622
"1,000 cc & Below",2012,6490
"1,000 cc & Below",2013,6364
"1,000 cc & Below",2014,6189
"1,000 cc & Below",2015,5799
"1,000 cc & Below",2016,4821
"1,000 cc & Below",2017,5388
"1,000 cc & Below",2018,6444
"1,000 cc & Below",2019,8268
"1,000 cc & Below",2020,9424
"1,000 cc & Below",2021,10423
"1,000 cc & Below",2022,14386
"1,000 cc & Below",2023,20284
"1,001 cc To 1,600 cc",1986,150685
"1,001 cc To 1,600 cc",1987,152101
"1,001 cc To 1,600 cc",1988,162573
"1,001 cc To 1,600 cc",1989,173742
"1,001 cc To 1,600 cc",1990,178933
"1,001 cc To 1,600 cc",1991,184236
"1,001 cc To 1,600 cc",1992,180924
"1,001 cc To 1,600 cc",1993,189155
"1,001 cc To 1,600 cc",1994,195694
"1,001 cc To 1,600 cc",1995,205563
"1,001 cc To 1,600 cc",1996,214814
"1,001 cc To 1,600 cc",1997,217830
"1,001 cc To 1,600 cc",1998,214321
"1,001 cc To 1,600 cc",1999,220274
"1,001 cc To 1,600 cc",2000,232638
"1,001 cc To 1,600 cc",2001,244609
"1,001 cc To 1,600 cc",2002,241603
"1,001 cc To 1,600 cc",2003,238659
"1,001 cc To 1,600 cc",2004,243663
"1,001 cc To 1,600 cc",2005,258373
"1,001 cc To 1,600 cc",2006,277522
"1,001 cc To 1,600 cc",2007,297394
"1,001 cc To 1,600 cc",2008,312367
"1,001 cc To 1,600 cc",2009,325418
"1,001 cc To 1,600 cc",2010,331246
"1,001 cc To 1,600 cc",2011,329957
"1,001 cc To 1,600 cc",2012,335409
"1,001 cc To 1,600 cc",2013,335419
"1,001 cc To 1,600 cc",2014,331104
"1,001 cc To 1,600 cc",2015,321082
"1,001 cc To 1,600 cc",2016,325700
"1,001 cc To 1,600 cc",2017,337682
"1,001 cc To 1,600 cc",2018,342809
"1,001 cc To 1,600 cc",2019,357982
"1,001 cc To 1,600 cc",2020,361261
"1,001 cc To 1,600 cc",2021,367949
"1,001 cc To 1,600 cc",2022,370255
"1,001 cc To 1,600 cc",2023,368088
"1,601 cc To 2,000 cc",1986,28058
"1,601 cc To 2,000 cc",1987,28435
"1,601 cc To 2,000 cc",1988,30627
"1,601 cc To 2,000 cc",1989,34420
"1,601 cc To 2,000 cc",1990,39948
"1,601 cc To 2,000 cc",1991,44223
"1,601 cc To 2,000 cc",1992,47116
"1,601 cc To 2,000 cc",1993,54083
"1,601 cc To 2,000 cc",1994,61410
"1,601 cc To 2,000 cc",1995,67726
"1,601 cc To 2,000 cc",1996,73018
"1,601 cc To 2,000 cc",1997,77343
"1,601 cc To 2,000 cc",1998,78775
"1,601 cc To 2,000 cc",1999,81333
"1,601 cc To 2,000 cc",2000,87262
"1,601 cc To 2,000 cc",2001,89052
"1,601 cc To 2,000 cc",2002,90598
"1,601 cc To 2,000 cc",2003,94372
"1,601 cc To 2,000 cc",2004,99777
"1,601 cc To 2,000 cc",2005,105201
"1,601 cc To 2,000 cc",2006,114206
"1,601 cc To 2,000 cc",2007,125730
"1,601 cc To 2,000 cc",2008,138125
"1,601 cc To 2,000 cc",2009,146836
"1,601 cc To 2,000 cc",2010,153471
"1,601 cc To 2,000 cc",2011,157846
"1,601 cc To 2,000 cc",2012,162217
"1,601 cc To 2,000 cc",2013,164768
"1,601 cc To 2,000 cc",2014,164424
"1,601 cc To 2,000 cc",2015,162791
"1,601 cc To 2,000 cc",2016,165042
"1,601 cc To 2,000 cc",2017,171499
"1,601 cc To 2,000 cc",2018,175793
"1,601 cc To 2,000 cc",2019,179104
"1,601 cc To 2,000 cc",2020,180982
"1,601 cc To 2,000 cc",2021,182551
"1,601 cc To 2,000 cc",2022,181326
"1,601 cc To 2,000 cc",2023,177676
"2,001 cc To 3,000 cc",1986,8292
"2,001 cc To 3,000 cc",1987,8075
"2,001 cc To 3,000 cc",1988,8745
"2,001 cc To 3,000 cc",1989,9478
"2,001 cc To 3,000 cc",1990,10291
"2,001 cc To 3,000 cc",1991,11352
"2,001 cc To 3,000 cc",1992,12446
"2,001 cc To 3,000 cc",1993,13623
"2,001 cc To 3,000 cc",1994,15950
"2,001 cc To 3,000 cc",1995,18515
"2,001 cc To 3,000 cc",1996,20815
"2,001 cc To 3,000 cc",1997,22856
"2,001 cc To 3,000 cc",1998,23816
"2,001 cc To 3,000 cc",1999,26660
"2,001 cc To 3,000 cc",2000,30961
"2,001 cc To 3,000 cc",2001,34825
"2,001 cc To 3,000 cc",2002,39778
"2,001 cc To 3,000 cc",2003,45401
"2,001 cc To 3,000 cc",2004,52371
"2,001 cc To 3,000 cc",2005,58257
"2,001 cc To 3,000 cc",2006,65332
"2,001 cc To 3,000 cc",2007,74202
"2,001 cc To 3,000 cc",2008,80415
"2,001 cc To 3,000 cc",2009,83774
"2,001 cc To 3,000 cc",2010,87986
"2,001 cc To 3,000 cc",2011,92432
"2,001 cc To 3,000 cc",2012,94712
"2,001 cc To 3,000 cc",2013,95295
"2,001 cc To 3,000 cc",2014,95251
"2,001 cc To 3,000 cc",2015,93358
"2,001 cc To 3,000 cc",2016,87832
"2,001 cc To 3,000 cc",2017,81527
"2,001 cc To 3,000 cc",2018,75718
"2,001 cc To 3,000 cc",2019,71887
"2,001 cc To 3,000 cc",2020,69630
"2,001 cc To 3,000 cc",2021,70410
"2,001 cc To 3,000 cc",2022,70789
"2,001 cc To 3,000 cc",2023,71169
"3,001 cc & Above",1986,1113
"3,001 cc & Above",1987,1062
"3,001 cc & Above",1988,1124
"3,001 cc & Above",1989,1187
"3,001 cc & Above",1990,1303
"3,001 cc & Above",1991,1501
"3,001 cc & Above",1992,2247
"3,001 cc & Above",1993,3110
"3,001 cc & Above",1994,3953
"3,001 cc & Above",1995,5070
"3,001 cc & Above",1996,5817
"3,001 cc & Above",1997,6242
"3,001 cc & Above",1998,6122
"3,001 cc & Above",1999,6122
"3,001 cc & Above",2000,6376
"3,001 cc & Above",2001,6188
"3,001 cc & Above",2002,6061
"3,001 cc & Above",2003,6004
"3,001 cc & Above",2004,6316
"3,001 cc & Above",2005,6849
"3,001 cc & Above",2006,8139
"3,001 cc & Above",2007,9815
"3,001 cc & Above",2008,11771
"3,001 cc & Above",2009,13310
"3,001 cc & Above",2010,15115
"3,001 cc & Above",2011,16866
"3,001 cc & Above",2012,18742
"3,001 cc & Above",2013,19499
"3,001 cc & Above",2014,19641
"3,001 cc & Above",2015,19281
"3,001 cc & Above",2016,17862
"3,001 cc & Above",2017,16160
"3,001 cc & Above",2018,14688
"3,001 cc & Above",2019,13355
"3,001 cc & Above",2020,12745
"3,001 cc & Above",2021,13817
"3,001 cc & Above",2022,13911
"3,001 cc & Above",2023,14085
Total,1986,221945
Total,1987,223456
Total,1988,238984
Total,1989,258537
Total,1990,272475
Total,1991,285298
Total,1992,287612
Total,1993,306216
Total,1994,324026
Total,1995,345432
Total,1996,365558
Total,1997,377365
Total,1998,375217
Total,1999,382941
Total,2000,392961
Total,2001,405354
Total,2002,404274
Total,2003,405328
Total,2004,417103
Total,2005,438194
Total,2006,472308
Total,2007,514685
Total,2008,550455
Total,2009,576988
Total,2010,595185
Total,2011,603723
Total,2012,617570
Total,2013,621345
Total,2014,616609
Total,2015,602311
Total,2016,601257
Total,2017,612256
Total,2018,615452
Total,2019,630596
Total,2020,634042
Total,2021,645150
Total,2022,650667
Total,2023,651302
